Date	00:30	01:00	01:30	02:00	02:30	03:00	03:30	04:00	04:30	05:00	05:30	06:00	06:30	07:00	07:30	08:00	08:30	09:00	09:30	10:00	10:30	11:00	11:30	12:00	12:30	13:00	13:30	14:00	14:30	15:00	15:30	16:00	16:30	17:00	17:30	18:00	18:30	19:00	19:30	20:00	20:30	21:00	21:30	22:00	22:30	23:00	23:30	00:00
01/01/2003	48943	47274	47600	47542	47045	45187	43576	42016	40840	39990	39656	39246	38904	38664	38612	38676	38329	38233	38666	39560	40499	41359	42457	43242	44592	46100	45082	43981	42967	41666	41241	40877	40823	41678	43864	46038	46906	48150	48361	48187	47806	47050	45712	44613	45411	46753	45640	44791
02/01/2003	43475	41459	41666	41701	41191	39689	38518	37638	37360	37552	38619	39756	41753	43644	45974	48048	49890	50508	51476	52330	52977	53063	53198	54048	54394	55382	54691	54200	53800	52644	51956	51229	51085	51545	54282	56827	57828	58701	57674	56411	55070	53718	51763	50232	50977	52332	50918	50161
03/01/2003	48703	46598	46705	46675	46332	44716	43433	42518	42148	42139	43152	44066	45794	47636	50137	52326	53705	54332	55244	55825	56268	56512	57098	57330	57336	57923	57047	56638	55983	54301	53572	52991	52985	53286	55664	58401	59111	59540	58544	57635	56363	54985	53131	51649	52556	53913	52658	51898
04/01/2003	50358	48157	48410	48130	47485	45872	44533	43380	42885	42402	42745	43184	43792	44716	46059	47356	48742	49706	51120	52251	53238	53729	54393	54924	55872	57390	56396	55470	54777	53851	52995	52536	51980	52966	55256	58609	59999	61293	60541	59404	58680	57571	55904	55099	56555	57796	57048	56713
05/01/2003	55295	53465	53382	53401	53188	51707	50338	49136	48416	47992	48081	48175	48110	48400	49045	49911	50516	51321	53059	54369	55513	56129	56654	56924	57878	58700	57211	55640	54614	52764	52193	51772	51757	52459	55867	59799	62088	63811	64139	63638	63404	62540	60926	59547	60164	61338	60365	59586
06/01/2003	58571	57008	57362	57757	57745	56324	55432	54378	54288	54480	56104	57940	60487	63035	65625	67813	68582	68401	68851	69049	69226	69143	69663	69657	69380	70108	69819	69679	69180	67643	67076	66393	66325	67030	69050	71902	73221	74269	73033	71394	70076	68425	65843	63883	64980	65951	64630	64215
07/01/2003	63111	61195	64532	64916	64686	63187	61931	60974	60728	60670	61918	63564	66019	68280	70779	72883	73506	73146	73468	73169	73352	72864	73078	73103	71931	73120	72968	72855	72249	70953	70435	70241	70214	71024	73021	75793	77031	78014	76712	75137	73916	72114	69496	67708	68681	69415	67991	67331
08/01/2003	66140	64348	67577	67936	67683	66025	65012	63701	63339	63067	64324	65584	67867	69572	71464	73420	74844	74859	75181	75529	75564	75276	75860	75753	75021	75667	75224	75138	75008	73492	72891	72383	72182	72644	74248	76984	78214	79333	78354	76247	75149	73501	71161	69132	69842	70988	69068	68682
09/01/2003	67424	65539	69088	69403	69406	67610	66425	65176	64827	64560	65707	67137	69618	71544	73762	76161	76786	76148	76384	76317	76192	75677	76080	75776	74780	75346	75139	74575	74220	72842	72163	71918	71612	72195	74036	77100	78402	79432	78404	76559	75371	73693	71235	69556	70319	71251	69622	69088
10/01/2003	67812	66099	69749	70180	69987	68365	67065	66121	65540	65457	66526	67904	70255	71985	74270	76296	76819	76455	76892	76572	76414	76343	76502	76482	75397	75769	75233	74669	74087	72730	71747	71267	70897	71288	72911	75664	76857	77592	76302	74511	73278	71731	69811	68374	69516	70672	69333	68652
11/01/2003	67169	65177	68511	68452	68174	66682	65055	63818	62803	62225	62476	62319	62865	63697	65499	67489	68797	69643	71049	71119	71550	71609	71650	71391	71843	72746	71428	70259	69272	67563	66613	66037	65663	65823	67750	71512	73595	74550	74217	73005	72116	70837	69169	67940	69355	70952	70076	69702
12/01/2003	68486	66443	66924	66930	66903	65311	64046	62660	61798	61080	60995	60947	60731	60839	61398	62204	62895	63862	65819	67129	68038	68434	68662	68462	68974	69523	67652	65883	64449	62795	61924	61062	60786	61118	63309	67536	70191	72069	72670	72446	71949	71345	69512	67976	68661	69999	68867	68335
13/01/2003	67354	65861	66281	66912	67142	65906	64928	64055	63617	63723	65249	66720	69079	70999	73024	75132	75839	75677	75747	75833	75510	75127	75371	75107	74472	75262	74571	74332	73661	71938	71323	70656	70129	70394	71515	74335	75781	76985	75695	73818	72460	70400	67947	65980	66657	67503	66141	65445
14/01/2003	63941	62294	65707	66014	65547	64260	62908	61572	61096	60863	62128	63517	65802	67898	69807	71676	71720	71189	71443	71415	71360	71234	71395	71110	70278	70855	70250	69756	69337	67816	67006	66426	66052	66241	67378	70117	71683	72820	71519	69796	68554	66628	64632	62874	63618	64338	63164	62520
15/01/2003	61576	59674	62954	63234	63227	61583	60360	59291	58919	58722	60103	61442	63876	67208	70803	72828	74156	74443	74573	74765	74788	74468	74595	74031	72911	72780	72521	72427	71986	70504	69740	68914	68613	68541	69902	73086	74957	76097	74633	72858	71259	69404	66880	64962	65310	66448	65241	64471
16/01/2003	63175	61297	61875	62026	62044	60383	59275	58034	57817	57502	58755	59999	62452	64317	66757	68708	69420	68778	68891	68796	68338	68146	68530	68405	67351	67984	67600	67292	67166	65481	64882	64495	64115	64305	65344	68288	70173	71617	70334	68550	67067	65376	62781	61130	61967	63116	61902	61421
17/01/2003	60115	58165	61704	62061	61569	60043	58938	57582	57401	57386	58543	60017	62611	66175	69960	71969	72917	72481	72374	72330	72222	71673	71939	71630	70613	70972	70166	69606	68835	67021	66394	65670	65165	65204	66555	69852	71546	72469	71345	69630	68114	66382	64294	62557	63683	64878	63628	62972
18/01/2003	61375	59243	59478	59492	58988	57164	56076	54681	53972	53017	53521	53577	54580	55205	57238	58866	60057	60673	62294	62578	62785	62462	62724	62516	62874	63597	62558	61315	60475	58673	57935	57161	56851	56798	58251	61627	63705	64831	64325	63251	62088	60719	59119	57990	59248	60828	60055	59422
19/01/2003	58459	56645	56880	56870	56411	54561	53390	51937	51036	50146	49954	49748	49580	49547	50110	50771	51559	52521	54112	55477	56972	57793	58479	58921	59696	60159	58541	57072	55635	53980	53240	52098	51520	51600	52826	56082	58541	60095	60576	60065	59731	58715	56996	55798	56197	57407	56013	55671
20/01/2003	54803	53431	53959	54377	54320	52722	51749	50824	50665	50758	52488	54322	57129	59425	61926	64175	64974	64617	64648	64780	64651	64553	65008	65008	64309	65176	64665	64630	64057	62661	62291	61664	61384	61726	62576	65086	66553	67785	66484	64444	62829	60950	58485	56740	57363	58324	57060	56519
21/01/2003	55098	53354	56208	56300	56129	54447	53301	52100	51709	51534	52901	54360	57355	60896	64698	67145	67558	67240	67134	67013	66909	66516	66744	66486	65380	65713	65287	65371	64762	63578	62854	62414	62114	62114	63266	65859	67960	69409	68036	65982	64479	62806	60502	58736	59612	60358	58737	58185
