Date	Curtailment	Holidays
01/01/2003	0	Jour_de_l_an
21/04/2003	0	Lundi_de_Paques
01/05/2003	0	Fete_du_travail
08/05/2003	0	Fete_de_la_victoire
29/05/2003	0	Ascension
09/06/2003	0	Lundi_de_Pentecote
14/07/2003	0	Fete_nationale
15/08/2003	0	Assomption
01/11/2003	0	Toussaint
11/11/2003	0	Armistice
25/12/2003	0	Noel
06/01/2003	1	non
07/01/2003	1	non
08/01/2003	1	non
09/01/2003	1	non
10/01/2003	1	non
13/01/2003	1	non
14/01/2003	1	non
16/01/2003	1	non
20/01/2003	1	non
31/01/2003	1	non
03/02/2003	1	non
05/02/2003	1	non
07/02/2003	1	non
12/02/2003	1	non
13/02/2003	1	non
14/02/2003	1	non
17/02/2003	1	non
18/02/2003	1	non
07/03/2003	1	non
14/03/2003	1	non
17/03/2003	1	non
21/03/2003	1	non
09/12/2003	1	non
10/12/2003	1	non
11/12/2003	1	non

