Date	1	7	13	19	25	31	37	43
01/01/2003	8.3	8.1	8.1	8.6	9.5	10.1	10.2	10.3
02/01/2003	10.4	10.4	10.7	11.1	11.6	11.5	11.1	10.8
03/01/2003	10.5	10.1	9.8	9.9	10.4	10.4	9.9	9.5
04/01/2003	9.1	8.7	8.2	7.6	7.3	6.8	5.8	5
05/01/2003	4.2	3.3	2.5	2.1	2.6	2.5	1.5	0.9
06/01/2003	0.5	0.3	0.1	0.1	0.6	0.9	0.5	0
07/01/2003	-0.5	-0.9	-1.4	-1.4	-0.8	-0.7	-1.2	-1.5
08/01/2003	-1.9	-2.1	-2.3	-2.3	-1.8	-1.7	-2	-2.2
09/01/2003	-2.5	-2.7	-3	-2.7	-1.9	-1.6	-1.9	-2.3
10/01/2003	-2.6	-2.9	-3	-2.7	-1.7	-1.3	-1.7	-2
11/01/2003	-2.3	-2.4	-2.5	-2.5	-1.7	-1.4	-1.9	-2.1
12/01/2003	-2.6	-3	-3.5	-3.4	-1.9	-1.3	-2.2	-2.6
13/01/2003	-3	-3.2	-3.1	-2.3	-0.5	0.4	0.4	0.6
14/01/2003	0.8	1.1	1.3	1.8	3	3.6	3.1	2.9
15/01/2003	2.6	2.4	2.1	2.5	3.9	4.6	3.8	3.6
16/01/2003	3.5	3.4	3.1	3.4	4.5	4.8	4.1	3.8
17/01/2003	3.5	3.1	2.8	2.9	3.9	4.5	3.9	3.7
18/01/2003	3.5	3.4	3.2	3.2	4.4	4.8	4.3	4.2
19/01/2003	4.1	4.2	4.4	4.8	5.7	6.2	6	6
20/01/2003	6	5.9	5.9	6.2	7.2	7.7	7.6	7.6
21/01/2003	7.6	7.5	7.3	7.5	8.4	8.4	7.9	7.7
22/01/2003	7.6	7.4	7.3	7.5	8.2	8.3	7.7	7.4
23/01/2003	7.1	6.8	6.7	6.8	7.5	7.5	6.9	6.5
24/01/2003	6	5.5	4.9	4.8	6.1	6.5	5.5	4.5
25/01/2003	3.7	3.1	2.6	2.9	4.5	5.1	4.6	4.5
26/01/2003	4.6	4.6	4.6	5	5.8	6.2	6.1	6.3
27/01/2003	6.5	6.6	6.7	7.1	8.4	9.1	8.5	8.4
28/01/2003	8.3	8.2	7.9	7.9	8.5	8.4	7.6	7.1
29/01/2003	6.7	6.3	6	5.9	6.2	6.1	5.7	5.3
30/01/2003	5.1	4.6	4.2	4.2	4.3	4	3.3	3
31/01/2003	2.5	2	1.7	1.5	2	2.3	1.6	1
01/02/2003	0.5	0.1	-0.2	0.2	1.3	1.7	1.6	1.7
02/02/2003	1.8	1.7	1.8	2.4	3.7	4.4	4.4	4.5
03/02/2003	4.5	4.7	4.9	5.2	5.9	6.2	6.1	5.9
04/02/2003	5.7	5.1	4.7	4.6	5.1	4.9	4.4	4
05/02/2003	3.7	3.3	3.1	3.2	3.9	4	3.4	2.8
06/02/2003	2.2	1.7	1.2	1.7	3.1	3.6	3	2.5
07/02/2003	2.1	1.9	1.7	2.1	3.5	4.4	4	3.7
08/02/2003	3.4	3	2.7	3.4	5	5.8	5.2	4.7
09/02/2003	4.4	4.1	3.9	4.6	5.7	5.9	5.5	5.1
10/02/2003	4.7	4.1	3.8	4.1	5.3	5.7	5.2	4.7
11/02/2003	4.2	3.9	3.6	4	5.1	5.5	5	4.6
12/02/2003	4.3	3.9	3.5	3.5	4.1	4.2	3.8	3.3
13/02/2003	2.8	2.2	1.8	1.7	2.1	2.3	1.8	1.3
14/02/2003	0.8	0.4	0	0.2	1	1.3	0.8	0.4
15/02/2003	0	-0.4	-0.8	-0.3	1.1	1.7	0.9	0.4
16/02/2003	-0.1	-0.6	-1	-0.5	0.5	0.8	0.4	0
17/02/2003	-0.6	-1.1	-1.5	-1.1	0	0.6	0	-0.6
18/02/2003	-1.1	-1.7	-2.3	-1.5	0.3	1.3	0.4	-0.3
19/02/2003	-0.6	-0.9	-1.1	-0.1	1.5	2.4	2.2	2.3
20/02/2003	2.3	2.3	2.2	3	4.6	5.5	4.8	4.2
21/02/2003	3.5	2.8	2.5	3.6	5.9	7	6	5.1
22/02/2003	4.4	3.9	3.4	4.7	6.9	7.9	7.2	6.5
23/02/2003	6.3	6	5.7	6.5	8.1	8.9	8.3	7.7
24/02/2003	7.4	6.7	6.3	7.2	9	9.8	9.1	8.5
25/02/2003	8.1	7.5	7.2	8	9.4	10	9.6	9.2
26/02/2003	8.8	8.6	8.4	9	10.2	10.7	10.1	9.7
27/02/2003	9.4	9.1	8.8	9.3	10.3	10.7	10	9.3
28/02/2003	8.7	8.3	8	8.8	10.1	10.5	10	9.7
01/03/2003	9.5	9.4	9.2	9.7	10.5	10.8	10.4	9.9
02/03/2003	9.6	9.3	8.8	9	9.4	9.7	9.1	8.4
03/03/2003	7.8	7	6.5	7.2	8.1	8.6	8.4	8.3
04/03/2003	8	7.8	7.7	8.3	9.7	10.5	10.2	9.9
05/03/2003	9.6	9.2	8.9	10	11.6	12.2	11.4	10.8
06/03/2003	10.2	9.8	9.2	9.4	10.1	10.4	9.7	8.5
07/03/2003	7.6	6.9	6.2	7.3	8.9	9.6	9	8.3
08/03/2003	7.7	7.3	6.9	8	9.3	9.9	9.3	8.6
09/03/2003	8.1	7.5	6.8	8.3	10.4	11.6	11	9.8
10/03/2003	9.1	8.5	7.9	9.5	11.5	12.6	12	11.1
11/03/2003	10.8	10.4	10.2	11.4	13.1	13.8	13.2	12.4
12/03/2003	11.7	11.1	10.6	11.1	12.1	12.4	11.5	10.5
13/03/2003	9.9	9.2	8.6	9.3	10.4	11.2	10.4	9.3
14/03/2003	8.4	7.5	6.8	7.9	9.3	10.1	9.5	8.6
15/03/2003	7.7	6.9	6.1	7.1	8.4	9.3	8.7	7.6
16/03/2003	6.7	5.8	5	6.4	8.3	9.6	9	7.8
17/03/2003	6.9	5.9	5	7.1	9.3	10.6	10	8.7
18/03/2003	7.6	6.6	5.9	7.3	9.1	10.2	9.6	8.5
19/03/2003	7.5	6.5	5.7	7.9	10.1	11.3	10.6	9.2
20/03/2003	8.2	7.3	6.4	8.2	10.2	11.2	10.6	9.4
21/03/2003	8.3	7.5	7	8.3	9.6	10.2	9.7	8.8
22/03/2003	8	7.2	6.5	8.4	10.4	11.7	11.1	9.9
